epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8357,2.52815,8.89532,0.02227,0.30523,0,0,0,0,1.88211,6.09401,0.01562,0.18542,0,0,0
2,24.8648,2.05479,5.99665,0.01062,0.11251,0,0,0,0,1.9037,6.0762,0.01568,0.1898,1.40071e-05,1.40071e-05,1.40071e-05
3,26.4826,2.44204,6.27713,0.01817,0.19893,0.01754,0.08333,0.0043,0.00215,1.94168,6.06087,0.01593,0.19442,2.74482e-05,2.74482e-05,2.74482e-05
4,28.2293,1.80833,5.58254,0.01587,0.11704,0.01754,0.08333,0.00583,0.00292,1.96249,6.03904,0.01603,0.19591,4.03235e-05,4.03235e-05,4.03235e-05
5,30.0391,2.20383,5.37185,0.01367,0.16716,0.01852,0.08333,0.00681,0.0034,1.96756,6.01344,0.01602,0.20209,5.26329e-05,5.26329e-05,5.26329e-05
6,31.7281,2.22395,5.71265,0.02558,0.11586,0.01667,0.08333,0.00817,0.00408,1.97663,5.99103,0.01612,0.20575,6.43764e-05,6.43764e-05,6.43764e-05
7,33.4667,1.85397,5.97435,0.02029,0.17378,0.01449,0.08333,0.00907,0.00454,1.97099,5.9653,0.01618,0.20991,7.55541e-05,7.55541e-05,7.55541e-05
8,35.0401,2.04006,6.70605,0.02527,0.14413,0.01235,0.08333,0.01167,0.00467,1.96478,5.94689,0.01637,0.21365,8.61658e-05,8.61658e-05,8.61658e-05
9,36.6846,2.19312,6.50397,0.02039,0.09851,0.01235,0.08333,0.01167,0.00467,1.96478,5.94689,0.01637,0.21365,9.62117e-05,9.62117e-05,9.62117e-05
10,38.2544,1.3064,6.20962,0.01052,0.09796,0.02935,0.08333,0.01633,0.00653,1.96714,5.92219,0.01652,0.21937,0.000105692,0.000105692,0.000105692
11,39.7608,1.81347,6.33374,0.01706,0.10645,0.02935,0.08333,0.01633,0.00653,1.96714,5.92219,0.01652,0.21937,0.000114606,0.000114606,0.000114606
12,41.4853,1.721,4.90627,0.02063,0.183,0.0751,0.08333,0.02042,0.00817,1.9342,5.88866,0.01676,0.22835,0.000122954,0.000122954,0.000122954
13,43.1048,1.66682,5.20296,0.01107,0.0945,0.0751,0.08333,0.02042,0.00817,1.9342,5.88866,0.01676,0.22835,0.000130736,0.000130736,0.000130736
14,44.9057,2.02309,5.37453,0.01298,0.08841,0.0707,0.08333,0.02042,0.00817,1.88331,5.8362,0.01709,0.23951,0.000137953,0.000137953,0.000137953
15,46.5294,1.38826,4.94323,0.0161,0.03921,0.0707,0.08333,0.02042,0.00817,1.88331,5.8362,0.01709,0.23951,0.000144603,0.000144603,0.000144603
16,48.0476,2.02681,6.79147,0.0173,0.27229,0.06741,0.08333,0.02042,0.01021,1.95777,5.74995,0.01741,0.24436,0.000150688,0.000150688,0.000150688
17,49.6892,1.61325,6.48662,0.02714,0.15429,0.06741,0.08333,0.02042,0.01021,1.95777,5.74995,0.01741,0.24436,0.000156207,0.000156207,0.000156207
