epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,10.934,1.73547,9.70258,0.02597,0.15019,0,0,0,0,2.24422,7.6792,0.01664,0.19904,0,0,0
2,22.3298,2.33727,6.83386,0.01929,0.23105,0,0,0,0,2.28092,7.67338,0.01599,0.19499,1.40071e-05,1.40071e-05,1.40071e-05
3,33.4697,2.05818,6.49964,0.01701,0.17517,0.00236,0.11111,0.00215,0.00107,2.11006,7.71994,0.01658,0.17447,2.74482e-05,2.74482e-05,2.74482e-05
4,44.361,1.90178,5.52437,0.02677,0.16443,0.00243,0.11111,0.00532,0.0031,2.12708,7.66055,0.01689,0.17232,4.03235e-05,4.03235e-05,4.03235e-05
5,54.8627,2.00686,6.27551,0.01735,0.0939,0.74799,0.08133,0.03722,0.02233,1.73049,7.47567,0.01362,0.18198,5.26329e-05,5.26329e-05,5.26329e-05
6,65.1608,1.19458,6.36665,0.0228,0.12324,0.76545,0.09879,0.03722,0.02419,1.5546,7.38317,0.0143,0.17423,6.43764e-05,6.43764e-05,6.43764e-05
7,74.8438,1.20576,6.4897,0.01931,0.14049,0.40649,0.11111,0.03722,0.02699,1.85032,7.26672,0.01475,0.18928,7.55541e-05,7.55541e-05,7.55541e-05
8,84.4676,1.30256,7.0373,0.02764,0.0496,0.75274,0.11111,0.11167,0.08933,1.81052,6.89223,0.01376,0.19752,8.61658e-05,8.61658e-05,8.61658e-05
9,93.7444,1.17735,5.84274,0.01727,0.09901,0.75274,0.11111,0.11167,0.08933,1.81052,6.89223,0.01376,0.19752,9.62117e-05,9.62117e-05,9.62117e-05
10,105.251,1.16445,5.18921,0.02093,0.10594,0.88796,0.11111,0.11167,0.08933,1.36533,6.52254,0.01389,0.19661,0.000105692,0.000105692,0.000105692
11,114.387,1.11182,4.79333,0.02543,0.10548,0.88796,0.11111,0.11167,0.08933,1.36533,6.52254,0.01389,0.19661,0.000114606,0.000114606,0.000114606
12,125.1,1.06674,4.16401,0.01914,0.0916,0.94445,0.11111,0.11343,0.09004,1.50281,6.42153,0.01724,0.19074,0.000122954,0.000122954,0.000122954
13,134.078,0.8903,4.06106,0.01947,0.06197,0.94445,0.11111,0.11343,0.09004,1.50281,6.42153,0.01724,0.19074,0.000130736,0.000130736,0.000130736
14,144.805,1.13116,3.72394,0.01487,0.08011,0.91005,0.11111,0.12123,0.08008,1.84536,6.52044,0.018,0.1891,0.000137953,0.000137953,0.000137953
